"","n","n_t","zeta","Q","scenario_id","rank","iteration_id","save_model","dsim_seed","model_seed","start_gamma","start_emiss"
"31",80,400,0.5,0.4,"2788f75514b12a6a9aa2b7411570ab0f",1,"1eb6808a1fb5eeb8c81214c3837128b9",TRUE,2756411,4808432,"{
  ""tpm"": [0.7721, 0.114, 0.114, 0.114, 0.7721, 0.114, 0.114, 0.114, 0.7721]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.5704, 0.9025, -6.1698, 1.0174, 4.1236, 0.9438],
  ""EOG_median_theta"": [6.1218, 1.0867, 0.9231, 1.0384, -3.9601, 0.911],
  ""EOG_min_beta"": [-5.8401, 1.066, 4.1764, 1.0638, -1.1692, 1.0224]
}"
"32",80,400,0.5,0.4,"2788f75514b12a6a9aa2b7411570ab0f",21,"8060a6842627b550ccca96cde819310d",TRUE,5121589,4038189,"{
  ""tpm"": [0.6383, 0.1808, 0.1808, 0.1808, 0.6383, 0.1808, 0.1808, 0.1808, 0.6383]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.4249, 1.0818, -6.1223, 1.0145, 4.3225, 1.0738],
  ""EOG_median_theta"": [5.9226, 1.0196, 1.1188, 1.0889, -4.0405, 1.0248],
  ""EOG_min_beta"": [-6.1814, 1.0068, 3.8523, 1.0474, -1.3141, 1.0622]
}"
"33",20,800,1,0.4,"27ba49a2b6a95dccf02a4e86187639c7",12,"f77becf4cc55cf9a7a764bd49770103a",TRUE,6239987,1414751,"{
  ""tpm"": [0.6559, 0.1721, 0.1721, 0.1721, 0.6559, 0.1721, 0.1721, 0.1721, 0.6559]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.4454, 1.4121, -5.8724, 1.4845, 4.1567, 1.4716],
  ""EOG_median_theta"": [6.0946, 1.4468, 1.2081, 1.4191, -3.981, 1.5674],
  ""EOG_min_beta"": [-5.8248, 1.5233, 3.8356, 1.5221, -1.2909, 1.4297]
}"
"34",20,800,1,0.4,"27ba49a2b6a95dccf02a4e86187639c7",30,"91fa95706e42489d0632a073ab368da7",TRUE,7651611,7548012,"{
  ""tpm"": [0.7303, 0.1348, 0.1348, 0.1348, 0.7303, 0.1348, 0.1348, 0.1348, 0.7303]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.4127, 1.5621, -6.1791, 1.452, 4.0115, 1.4668],
  ""EOG_median_theta"": [5.9425, 1.563, 1.0623, 1.5662, -4.1737, 1.4995],
  ""EOG_min_beta"": [-6.0584, 1.4137, 3.8777, 1.4006, -1.1319, 1.5373]
}"
"35",20,400,2,0.1,"2e00bac441cd8a256a33c82888008edb",10,"f1d9543db4b89b351ebb3c7cd8660d66",TRUE,2372830,4908243,"{
  ""tpm"": [0.6668, 0.1666, 0.1666, 0.1666, 0.6668, 0.1666, 0.1666, 0.1666, 0.6668]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.6209, 2.4818, -5.9409, 2.4801, 4.3053, 2.5372],
  ""EOG_median_theta"": [6.0455, 2.5951, 1.1777, 2.5916, -3.8167, 2.4531],
  ""EOG_min_beta"": [-5.9304, 2.4488, 4.0867, 2.5387, -1.3975, 2.5376]
}"
"36",20,400,2,0.1,"2e00bac441cd8a256a33c82888008edb",30,"a23cce6d5cd255f2d210e6547e331113",TRUE,832489,7103317,"{
  ""tpm"": [0.7636, 0.1182, 0.1182, 0.1182, 0.7636, 0.1182, 0.1182, 0.1182, 0.7636]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.309, 2.4061, -6.1152, 2.5684, 4.0593, 2.4238],
  ""EOG_median_theta"": [5.884, 2.4559, 1.05, 2.5321, -4.1901, 2.4847],
  ""EOG_min_beta"": [-6.1216, 2.5532, 4.0237, 2.5848, -1.0162, 2.4629]
}"
"37",80,400,1,0.1,"2e5eee0e82684c85522eada693290c49",23,"96c79a41f8b733435770eacc22cae109",TRUE,4959040,1369494,"{
  ""tpm"": [0.5811, 0.2095, 0.2095, 0.2095, 0.5811, 0.2095, 0.2095, 0.2095, 0.5811]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.4193, 1.5538, -6.0488, 1.5929, 4.1284, 1.4059],
  ""EOG_median_theta"": [6.0674, 1.4894, 1.2665, 1.5732, -4.1091, 1.549],
  ""EOG_min_beta"": [-6.0913, 1.5469, 3.9928, 1.5833, -1.1767, 1.5933]
}"
"38",80,400,1,0.1,"2e5eee0e82684c85522eada693290c49",30,"9cdabfcec176ab6ffea5853407f1b582",TRUE,2147284,1065595,"{
  ""tpm"": [0.521, 0.2395, 0.2395, 0.2395, 0.521, 0.2395, 0.2395, 0.2395, 0.521]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.5948, 1.5832, -5.8967, 1.5682, 4.0755, 1.4585],
  ""EOG_median_theta"": [6.1208, 1.5079, 0.9332, 1.5013, -4.0913, 1.4585],
  ""EOG_min_beta"": [-6.0415, 1.529, 4.0684, 1.5416, -1.2045, 1.4732]
}"
"39",80,400,1,0.2,"35085e1311828d2d24fdb32ce00f8c8f",2,"88e2753109f350d61cd1e098bf8ab69e",TRUE,5088275,4333352,"{
  ""tpm"": [0.7346, 0.1327, 0.1327, 0.1327, 0.7346, 0.1327, 0.1327, 0.1327, 0.7346]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.6901, 1.5288, -6.1638, 1.5596, 4.0247, 1.5704],
  ""EOG_median_theta"": [6.1621, 1.5987, 1.0286, 1.5162, -3.8821, 1.4076],
  ""EOG_min_beta"": [-5.9024, 1.5708, 4.0122, 1.4821, -1.2858, 1.4917]
}"
"40",80,400,1,0.2,"35085e1311828d2d24fdb32ce00f8c8f",8,"91ce84a76dcf6a37db9bcbc8b86440f8",TRUE,1434357,3863949,"{
  ""tpm"": [0.5729, 0.2135, 0.2135, 0.2135, 0.5729, 0.2135, 0.2135, 0.2135, 0.5729]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.4907, 1.479, -5.9699, 1.4398, 4.2862, 1.4564],
  ""EOG_median_theta"": [6.1678, 1.4176, 1.187, 1.569, -3.9024, 1.4545],
  ""EOG_min_beta"": [-6.0487, 1.5973, 3.8064, 1.4337, -1.0768, 1.5735]
}"
